SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PODDARMENT, EQ, 17-May-2018, 288.35, 291.40, 293.00, 288.00, 289.65, 289.20, 289.86, 4550, 13.19, 210, 3527, 77.52
POKARNA, EQ, 17-May-2018, 185.40, 186.55, 186.55, 181.90, 185.00, 184.85, 183.56, 6432, 11.81, 197, 5090, 79.14
POLARIS, EQ, 17-May-2018, 471.10, 471.65, 472.70, 470.25, 470.25, 470.25, 470.53, 3497, 16.45, 93, 2434, 69.60
POLYMED, EQ, 17-May-2018, 245.75, 246.75, 249.95, 243.00, 243.00, 245.50, 246.50, 2778, 6.85, 79, 2427, 87.37
POLYPLEX, EQ, 17-May-2018, 463.65, 464.80, 471.80, 463.90, 468.00, 470.00, 468.57, 10779, 50.51, 540, 4062, 37.68
PONNIERODE, EQ, 17-May-2018, 137.20, 141.75, 141.75, 136.00, 137.10, 137.80, 138.06, 487, 0.67, 46, 211, 43.33
POWERGRID, EQ, 17-May-2018, 213.45, 212.50, 216.00, 212.30, 213.45, 213.45, 213.77, 10069279, 21525.13, 51779, 7641653, 75.89
POWERMECH, EQ, 17-May-2018, 1007.45, 1005.00, 1010.00, 999.00, 1005.00, 1005.55, 1006.17, 8287, 83.38, 175, 7801, 94.14
PPAP, EQ, 17-May-2018, 537.90, 540.00, 546.60, 540.00, 544.90, 543.40, 543.25, 12193, 66.24, 342, 9870, 80.95
PRABHAT, EQ, 17-May-2018, 181.05, 181.25, 188.00, 180.10, 181.30, 181.60, 184.16, 403907, 743.85, 6953, 175559, 43.47
PRADIP, BE, 17-May-2018, 1.50, 1.45, 1.55, 1.45, 1.45, 1.45, 1.46, 9537, 0.14, 21, -, -
PRAENG, EQ, 17-May-2018, 9.95, 10.00, 10.40, 9.60, 10.25, 10.15, 9.83, 45879, 4.51, 136, 23801, 51.88
PRAJIND, EQ, 17-May-2018, 98.85, 98.95, 105.00, 98.40, 101.30, 101.85, 102.68, 3705811, 3805.28, 33457, 1076977, 29.06
PRAKASH, EQ, 17-May-2018, 177.60, 178.95, 182.50, 177.10, 181.00, 180.70, 180.34, 915157, 1650.38, 11270, 292170, 31.93
PRAKASHCON, EQ, 17-May-2018, 6.85, 6.70, 7.05, 6.70, 6.85, 6.85, 6.93, 113531, 7.87, 162, 73790, 65.00
PRATIBHA, EQ, 17-May-2018, 4.75, 4.45, 4.75, 4.30, 4.30, 4.30, 4.32, 197144, 8.53, 351, 161537, 81.94
PRAXIS, BE, 17-May-2018, 248.15, 249.00, 259.20, 248.00, 253.00, 254.65, 253.10, 27119, 68.64, 127, -, -
PRECAM, EQ, 17-May-2018, 99.15, 99.00, 100.00, 98.20, 98.30, 98.50, 98.81, 6140, 6.07, 112, 4849, 78.97
PRECOT, EQ, 17-May-2018, 52.25, 53.95, 53.95, 51.00, 51.25, 51.45, 52.05, 918, 0.48, 21, 798, 86.93
PRECWIRE, EQ, 17-May-2018, 299.65, 306.90, 308.00, 295.25, 298.20, 298.55, 301.20, 15939, 48.01, 701, 8477, 53.18
PREMEXPLN, EQ, 17-May-2018, 353.80, 350.00, 360.00, 340.00, 341.00, 343.75, 344.34, 3329, 11.46, 169, 1707, 51.28
PREMIER, EQ, 17-May-2018, 17.30, 17.20, 18.40, 16.70, 17.00, 17.05, 17.22, 3542, 0.61, 84, 1793, 50.62
PREMIERPOL, EQ, 17-May-2018, 37.05, 37.05, 38.00, 36.00, 36.10, 36.10, 36.35, 2313, 0.84, 24, 2061, 89.11
PRESSMN, EQ, 17-May-2018, 43.35, 43.40, 45.00, 43.20, 44.85, 44.75, 44.25, 13325, 5.90, 119, 8751, 65.67
PRESTIGE, EQ, 17-May-2018, 275.85, 280.00, 290.00, 278.15, 282.00, 281.10, 282.11, 58065, 163.80, 1523, 32637, 56.21
